geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
46048,-2.542742,-66.818023,cidade 1 ms,MS
23434,-23.388071,-54.352261,curitiba,PR
23434,-4.078857,-43.955011,curitiba,PR
21395,-7.505972,-55.709526,cidade 3 pb,PB
13905,-22.945951,-38.303326,cidade 1 ma,MA
76237,-14.419187,-53.789926,rio de janeiro,RJ
76237,-20.403558,-68.668511,rio de janeiro,RJ
36062,-31.932863,-65.863611,cidade 3 ms,MS
36062,-18.691097,-49.112614,cidade 3 ms,MS
36062,-2.794614,-68.828289,cidade 3 ms,MS
81426,-31.301167,-36.274421,cidade 3 es,ES
81426,-33.607023,-49.215309,cidade 3 es,ES
81426,-18.047564,-64.812531,cidade 3 es,ES
87236,-24.856449,-65.781757,caruaru,PE
87236,-11.744932,-73.819462,caruaru,PE
30926,-1.407723,-39.234943,florianopolis,SC
30926,-21.575823,-36.359278,florianopolis,SC
30926,-25.765881,-59.564365,florianopolis,SC
46421,-31.31508,-58.124661,cidade 2 pb,PB
46421,-27.910929,-42.436526,cidade 2 pb,PB
23396,-3.253806,-72.424778,caxias do sul,RS
23396,-28.174916,-68.005769,caxias do sul,RS
23396,-22.072432,-45.667563,caxias do sul,RS
57052,-25.011821,-48.882692,rio de janeiro,RJ
44671,-26.343253,-60.175747,cidade 3 rn,RN
44671,-5.518619,-55.333458,cidade 3 rn,RN
44671,-12.717249,-47.759711,cidade 3 rn,RN
70217,-21.882856,-63.607394,cidade 3 rn,RN
70217,-9.654548,-48.128881,cidade 3 rn,RN
70217,-16.387708,-67.273636,cidade 3 rn,RN
20328,-13.237932,-44.529458,cidade 2 pa,PA
91070,-1.668348,-60.84836,cidade 3 ma,MA
91070,-12.539043,-67.887783,cidade 3 ma,MA
91070,-28.25883,-72.510719,cidade 3 ma,MA
85674,-3.7385,-37.427376,cidade 2 mt,MT
85674,-7.770644,-38.843507,cidade 2 mt,MT
16006,-9.02786,-38.910592,porto alegre,RS
20458,-1.612776,-49.939218,cidade 2 pb,PB
59823,-25.097153,-48.249495,cidade 1 mt,MT
57819,-29.332892,-59.675788,blumenau,SC
57819,-13.203736,-66.223843,blumenau,SC
57819,-32.036431,-54.670044,blumenau,SC
37460,-20.171793,-42.826893,caxias do sul,RS
37460,-2.039242,-47.913031,caxias do sul,RS
99593,-22.896662,-36.754115,cidade 3 pb,PB
93227,-25.952479,-59.408185,cidade 3 ms,MS
93227,-15.779484,-53.3406,cidade 3 ms,MS
42087,-15.72363,-39.376268,pelotas,RS
45382,-15.488297,-56.744486,caxias do sul,RS
45382,-16.58504,-58.668653,caxias do sul,RS
45382,-15.59436,-72.187595,caxias do sul,RS
83000,-10.554764,-54.806255,cidade 3 pi,PI
83000,-2.724109,-41.618456,cidade 3 pi,PI
17331,-4.389696,-73.771052,londrina,PR
51347,-2.252945,-35.994401,curitiba,PR
51347,-20.58439,-58.716938,curitiba,PR
51347,-15.030437,-62.602429,curitiba,PR
37653,-25.564645,-39.316861,recife,PE
37653,-21.740258,-69.888735,recife,PE
51245,-33.198725,-57.776165,cidade 3 al,AL
51245,-6.6076,-60.33191,cidade 3 al,AL
61856,-17.038904,-43.975636,londrina,PR
61856,-13.227187,-44.668795,londrina,PR
70142,-20.853506,-52.985121,cidade 3 mt,MT
70142,-20.879978,-50.801679,cidade 3 mt,MT
70142,-5.749317,-44.624799,cidade 3 mt,MT
42325,-29.401854,-66.003536,belo horizonte,MG
42325,-24.350015,-72.252683,belo horizonte,MG
42325,-25.940536,-71.504794,belo horizonte,MG
44438,-11.406523,-51.450586,cidade 3 es,ES
86484,-7.000303,-40.564257,cidade 2 es,ES
28131,-6.628469,-69.961453,goiania,GO
28131,-6.317873,-58.971561,goiania,GO
16175,-22.721836,-70.82932,cidade 1 pa,PA
92240,-7.957874,-70.345391,cidade 1 mt,MT
92240,-23.970534,-45.797246,cidade 1 mt,MT
92240,-6.782501,-35.741813,cidade 1 mt,MT
65333,-16.012939,-69.6455,pelotas,RS
60019,-26.713578,-52.247487,cidade 2 ma,MA
79352,-6.043155,-35.900574,cidade 2 ma,MA
79352,-29.804158,-73.822626,cidade 2 ma,MA
79352,-8.781703,-49.031792,cidade 2 ma,MA
11504,-24.076326,-68.205373,blumenau,SC
11504,-9.854735,-67.7926,blumenau,SC
99353,-25.952588,-68.087258,cidade 1 pb,PB
99353,-11.369505,-43.636691,cidade 1 pb,PB
94012,-33.213049,-70.126482,cidade 2 mt,MT
66985,-19.242836,-37.214612,feira de santana,BA
44522,-16.110286,-47.621718,porto alegre,RS
76542,-12.307943,-60.883187,cidade 1 pi,PI
76542,-13.005594,-41.205556,cidade 1 pi,PI
49117,-30.602988,-37.457952,cidade 3 al,AL
49117,-22.858486,-44.225738,cidade 3 al,AL
49117,-14.185435,-35.848764,cidade 3 al,AL
89818,-13.150163,-54.948469,cidade 3 rn,RN
31174,-27.763473,-62.9255,caxias do sul,RS
31174,-9.910582,-53.589677,caxias do sul,RS
10074,-9.951337,-42.626033,cidade 3 pa,PA
10074,-24.466182,-38.72516,cidade 3 pa,PA
12552,-9.358151,-38.778601,cidade 2 ma,MA
12552,-14.446579,-56.136599,cidade 2 ma,MA
12552,-14.965303,-59.710567,cidade 2 ma,MA
50306,-31.467593,-63.144723,uberlandia,MG
50306,-15.875985,-73.889563,uberlandia,MG
84364,-32.416292,-71.798227,curitiba,PR
84364,-25.754722,-37.541299,curitiba,PR
73699,-31.931577,-54.930462,cidade 1 al,AL
73699,-27.637663,-69.130545,cidade 1 al,AL
26483,-20.034776,-41.074994,cidade 3 rn,RN
26483,-28.407126,-71.207571,cidade 3 rn,RN
82063,-3.579586,-43.373887,uberlandia,MG
82063,-19.83291,-50.92093,uberlandia,MG
82063,-24.285231,-42.164403,uberlandia,MG
89507,-16.089663,-55.495877,pelotas,RS
89507,-19.149726,-56.114072,pelotas,RS
89507,-16.132309,-44.917335,pelotas,RS
80686,-23.986587,-36.897929,recife,PE
80686,-28.654748,-62.976897,recife,PE
80686,-28.332497,-67.644824,recife,PE
36365,-1.670982,-36.905798,cidade 3 am,AM
98039,-27.343575,-45.719829,cidade 2 es,ES
77839,-27.341795,-37.192503,cidade 2 ms,MS
39451,-27.995763,-67.513438,fortaleza,CE
39451,-22.787401,-35.019296,fortaleza,CE
87110,-29.031103,-47.248132,rio de janeiro,RJ
87110,-8.783427,-40.203718,rio de janeiro,RJ
38864,-4.004321,-41.908453,cidade 3 ma,MA
38864,-32.331549,-45.783448,cidade 3 ma,MA
92719,-1.442923,-62.197591,guarulhos,SP
14117,-23.638567,-37.754317,rio de janeiro,RJ
77391,-14.634506,-67.845518,cidade 1 mt,MT
73624,-21.171783,-47.493778,maringa,PR
73624,-16.826413,-41.675958,maringa,PR
84847,-26.577331,-46.286321,curitiba,PR
84847,-4.466708,-46.634038,curitiba,PR
84847,-22.444977,-62.969911,curitiba,PR
71993,-11.279349,-49.907938,cidade 1 ma,MA
22363,-27.349307,-36.580794,cidade 1 rn,RN
56438,-30.052137,-37.805039,niteroi,RJ
56438,-5.952109,-52.284865,niteroi,RJ
17100,-5.119704,-40.124026,caruaru,PE
17100,-27.006701,-53.478547,caruaru,PE
17100,-17.276601,-37.018,caruaru,PE
22899,-8.25523,-70.784257,cidade 3 pb,PB
22899,-4.447633,-37.68458,cidade 3 pb,PB
54473,-22.706842,-44.088419,nova iguacu,RJ
42591,-13.060051,-63.422482,cidade 1 rn,RN
42591,-15.567012,-59.768928,cidade 1 rn,RN
42591,-22.538223,-54.007214,cidade 1 rn,RN
68800,-22.544754,-38.353117,pelotas,RS
46509,-26.432661,-44.924644,belo horizonte,MG
68082,-27.527847,-73.678014,fortaleza,CE
68082,-33.555345,-57.424404,fortaleza,CE
68082,-5.00205,-52.099666,fortaleza,CE
22833,-7.427582,-54.234447,cidade 3 rn,RN
22833,-24.075342,-47.262291,cidade 3 rn,RN
22833,-24.490345,-45.783365,cidade 3 rn,RN
11934,-28.26754,-49.666933,nova iguacu,RJ
11934,-25.015267,-64.14015,nova iguacu,RJ
31798,-2.881292,-59.009794,cidade 1 pi,PI
31798,-21.973236,-52.160448,cidade 1 pi,PI
38016,-15.24455,-47.915242,caruaru,PE
38016,-29.197402,-40.882303,caruaru,PE
31579,-33.678173,-67.146942,cidade 1 mt,MT
