order_id,payment_sequential,payment_type,payment_installments,payment_value
0b7bb046a3f3439e8ddae18cdf611157,1,boleto,1,35.78
0b7bb046a3f3439e8ddae18cdf611157,2,boleto,1,53.38
dbd7f8139a374145b351914824e8bbb0,1,boleto,1,128.11
da7cf6e3e72f4622a9c059c3130388d1,1,credit_card,1,810.82
0b9ab2d9e208417ea29c483c9515ad94,1,boleto,1,266.94
bff6799dcbeb46d78964315f17c006f0,1,credit_card,3,133.82
7723df7e3e0f4fc58731de80d5b88492,1,credit_card,6,50.73
15ce3d5a56374c939c7d3892567cb12f,1,boleto,1,92.58
2e248787594240b29830310b58fe24fb,1,credit_card,12,166.52
8c79382b30914a8b8f955d4a02e398ab,1,credit_card,1,426.59
5558a504658d457eae9ecba5ea155000,1,boleto,1,553.86
0745d25f007f4d8f98c60ff663b1184e,1,credit_card,6,316.7
985eae7cd4c9497a964a6f59df337370,1,credit_card,6,91.89
dfbfb9fb03d5488382d293d914612da7,1,boleto,1,116.74
54b363886a514e2ebf6e59e7bdb1487a,1,credit_card,2,357.49
c7315fab191e4a7a9d4d0f18e669d028,1,credit_card,3,153.54
c8a0cd9c9bde408aada16a6b80d06417,1,boleto,1,115.26
d408e1572dce456f81704957ffb24069,1,credit_card,12,97.22
706fa9dbb6eb4685bbc89cf7852b3fed,1,credit_card,6,484.24
431ae7a93c2c48c485d71a14538c8463,1,credit_card,3,32.93
431ae7a93c2c48c485d71a14538c8463,2,credit_card,1,40.22
dcd8a9a0558f4940ab8d9d03bc93eea4,1,credit_card,2,31.57
dcd8a9a0558f4940ab8d9d03bc93eea4,2,credit_card,1,26.51
f8757a9d9317413484d0f8eda9c741f6,1,credit_card,2,171.39
c29fbf9550b34d4e9ab73c08be0e792a,1,credit_card,1,100.34
2bc3e1ae1dc94b7e8c3a6cf835edd93d,1,credit_card,12,71.04
40f1a7ee8f284854a3d1b7b7851e2f99,1,credit_card,1,364.01
efb2011a08554cd3b9293645ca79bce4,1,boleto,1,97.2
686004c787d346719226c626630afcb9,1,credit_card,1,92.2
0e1f2414668941628be2e0b412efeea4,1,credit_card,1,211.44
3e361f8b44f0479bba2921d669213e85,1,credit_card,12,72.79
3e361f8b44f0479bba2921d669213e85,2,credit_card,2,105.01
73d9e5283af34077bd60202ab9f6b56f,1,credit_card,2,332.01
5d092e63b7f742bdbe3eae903d92df3c,1,credit_card,2,92.67
e6a6eef170ea4ec9969b26dacc369b07,1,credit_card,10,191.39
278cfe16b0324b2d8b0e9de581e498fe,1,credit_card,12,98.78
c238b811d3e745639ae22e8e42d26e95,1,boleto,1,573.47
a594e32a40f64768bec736bd6de151f0,1,credit_card,12,322.57
5c1a9e4b142e4529a053d8678361369f,1,boleto,1,54.51
43dadfb7b716476998d601382eeceaf8,1,credit_card,1,350.66
f00155a626a64b26b4d14b004e407b00,1,credit_card,10,319.56
426a8a73d4d64d279e61ced24dd3ce24,1,boleto,1,384.53
3e8f068254034c42950bd906a03b6526,1,credit_card,10,116.56
99090cc3a2c94dbcad70fb9ea9c0c580,1,credit_card,10,69.29
3d7644bfd38a44e282cd1dcee4665b1e,1,boleto,1,169.4
ee30bd55b7994b718b729996475622e0,1,boleto,1,617.71
cea24006b6e04185822ec93e304c7272,1,credit_card,10,122.92
750aec66a97b4a7f8eb940960a657afd,1,credit_card,10,287.9
5c0780a32a7b4631828c4d6308498b91,1,boleto,1,339.42
ff8f524f1c6845c195e60abd3bb04a9d,1,credit_card,1,169.7
8bc610265bf64137971ccbceb5e30ced,1,credit_card,6,100.25
2d33dba58c3f4c73a4f7c848560730af,1,credit_card,1,97.57
9bc1e39d8a60468195b8af51a4019ad1,1,boleto,1,69.27
ef2c67dabbff4d6a8cd496768cad3e79,1,debit_card,1,76.24
ded50bf974934d0d936940d66cfd57ea,1,boleto,1,78.47
ed45672577604ed891a75a319dd7da1c,1,credit_card,3,56.41
b8e6923fa81444279992b8ff4fa0616d,1,boleto,1,108.04
0f5c34b7a1464fe6a9b387c1c25acaba,1,boleto,1,88.22
03cf03cf65944fb28de88329965829ff,1,credit_card,1,124.08
05781ca9dbc644718182a2be6ae2b700,1,credit_card,2,515.79
c3c00e9993f34e86a4020771d8308b30,1,credit_card,1,58.55
ceaf8b7a0b2041ec829a2a466f964c12,1,voucher,1,53.17
ceaf8b7a0b2041ec829a2a466f964c12,2,boleto,1,39.82
ca4d65c09cf844bf92bcaa589d93765a,1,debit_card,1,519.34
6527c17106f848ef822ff7440dad2ce0,1,credit_card,3,259.04
5b0bc979bebd438eb281e2140db1b708,1,credit_card,1,80.24
0c199c2876a6475e8164e1a8bb2bd1c2,1,boleto,1,189.76
ac963ba060004680804db486fc0a8ce9,1,credit_card,12,168.13
95cb5dad23ec4b9c9d198980d9e89e0c,1,boleto,1,129.96
54f9b037e5bf4a6aa9163a698fab3302,1,credit_card,6,100.35
0b8577042f904614839bdd90caa6842c,1,boleto,1,255.53
b1e3801f119e48c98e86d416d6edbd8d,1,credit_card,1,80.06
b1e3801f119e48c98e86d416d6edbd8d,2,boleto,1,67.74
742b8ed2cb7f457f9cc88a0fc780996f,1,credit_card,6,637.32
137ae4f248304409adb0b894c4a2ba75,1,boleto,1,244.94
52f64945d335487fbe08b746ff2622b5,1,credit_card,1,34.16
