order_id,payment_sequential,payment_type,payment_installments,payment_value
ed919b55-91c3-4f13-a540-ecd11f0e523d,1,credit_card,1,246.44
c0c36528-3e9d-447a-96ce-7d179a7db4b4,1,credit_card,4,43.16
b4a7ea99-d572-4408-be11-bb319b828fab,1,credit_card,5,382.11
469a09ee-422b-48e9-9b93-db00f1db228c,1,credit_card,8,255.78
39f6549b-48fb-45d1-b36d-8da9940cbc1d,1,credit_card,5,129.12
e087e259-4507-4307-a183-cfa3932df381,1,credit_card,10,215.29
869c6fdd-0465-48d7-8388-06fe68f06068,1,credit_card,9,118.84
a84a3aee-d636-489d-ad0f-c0f7c252714e,1,credit_card,4,206.02
256714d6-2bdc-43d7-8fb5-1ba1b31985d0,1,credit_card,3,340.54
5404211d-97e3-423f-8c38-f74b397ab7cc,1,credit_card,7,61.59
9afe08a7-20d8-42e4-ab8d-864280210c15,1,credit_card,7,106.29
ef67e86a-b93a-402f-ba1e-827ab91340e3,1,debit_card,4,280.67
ab441946-935b-4c84-bd03-026637f15695,1,credit_card,7,251.59
c541ea01-a47d-4853-887e-649dd14c6d19,1,credit_card,3,423.63
dbaea49d-9527-4102-85bb-0541e1e0d3d7,1,credit_card,2,429.0
3fca1417-1989-4db9-8505-13d0ef0abbd0,1,credit_card,10,127.2
020ab8a8-f7a3-4987-9a86-45c4285e9704,1,boleto,1,248.06
922d82ff-c29f-4a8f-a4eb-5ab9ff69af1c,1,credit_card,6,47.97
b0f732d8-0fab-4fb8-a10b-f60a720f1c3d,1,credit_card,6,496.83
7a8e854f-dc44-4179-9d7a-0bd02c5fd1ca,1,credit_card,4,430.05
53aab43a-7a9b-4b2c-8b19-1955c2fdb44a,1,credit_card,7,318.15
84c12470-da04-43df-a634-727d4d25d614,1,boleto,3,113.96
a15b293e-497d-4e5c-b155-dc875905fd87,1,credit_card,4,324.62
5edbf93e-69ad-4a79-88cc-684db5b2872b,1,credit_card,9,195.68
95ea378b-cce3-4db7-b8fd-780c5630899b,1,boleto,10,460.15
202b50d1-c71a-4cec-9bf0-d42a21c4f6d5,1,boleto,1,56.32
0afc32bc-0299-4355-be93-3783098bfdfb,1,credit_card,6,122.59
6ece6ce9-9112-448d-8734-07a34d40e14f,1,credit_card,7,264.27
edcc6a95-61aa-442d-8dec-48e4d92757a8,1,credit_card,7,182.07
9c6675cd-b939-4e8e-a5fc-57c710681724,1,credit_card,4,170.87
d2ad8a48-0dfa-44c9-910a-f69d3933c2ed,1,debit_card,9,137.88
bcbf7a3d-e5b1-4208-a435-17e00702c1db,1,credit_card,5,309.38
22e8843e-1b4c-40a7-9b13-d748dfe88339,1,credit_card,5,322.76
bbdcdd1f-343b-49ce-9d63-734cc75e769c,1,boleto,1,341.13
dbc4ccdd-5554-4bb9-b622-f59add20525e,1,credit_card,5,436.51
875d24cb-5b32-4b4e-9d44-051b64bb419d,1,credit_card,5,59.53
30b874e1-6440-4fef-984b-bbbab4fc8fdd,1,voucher,5,112.43
a0c4e637-565e-47b8-9514-e86e54ad2b86,1,boleto,2,76.85
f6be5f8c-78aa-4c52-96ee-e772ad735097,1,boleto,6,225.04
6e247a6b-f09e-40d0-8e2d-33d00097d5f0,1,credit_card,8,499.66
ec35ed88-1431-4083-8e60-cadaf889c78a,1,boleto,5,22.37
f1c3020d-37e9-4ea4-9c07-23c492dba65f,1,credit_card,9,460.46
5c497ad1-b4b0-4014-82d6-e3c8119bd998,1,credit_card,10,234.34
426664cf-306c-4d84-8c60-507b8d73f2a6,1,debit_card,5,262.21
634c842f-6584-4875-93c7-0de6b21d856b,1,credit_card,3,401.01
390ae185-128d-4b82-95ab-1a4738a6484c,1,boleto,5,294.35
5ef8fa9b-8cfc-454b-8ac3-1e08ef3e9770,1,credit_card,10,368.06
4bef82f1-3467-43fb-a290-8a400c4d862e,1,credit_card,5,435.61
d42d2055-30c4-41e6-aefe-4238e3e7589e,1,boleto,2,483.84
abb62c94-eecb-443b-a856-9821684b1568,1,credit_card,4,304.3
dba4444b-0892-40fd-a2bf-52d3bda91c8a,1,credit_card,9,315.48
751ffc03-4f5d-4423-b1e5-266a3fa83ff8,1,credit_card,2,24.53
68157607-43df-4c14-aee0-66ca4af1ff74,1,voucher,4,154.43
04ca9bf5-1b97-4060-a7f1-24563539bd22,1,credit_card,3,139.93
73652790-a9cd-4750-bb63-be004d1f3b9a,1,credit_card,5,442.54
8122a1db-6a6a-48b2-9456-8b74b6d62dfd,1,credit_card,6,175.83
cd0e1708-acbf-41d4-b172-0b65bdcfc42b,1,voucher,1,160.32
d25163ad-c80b-4bd7-a570-50eea874d557,1,credit_card,2,151.63
085d07e6-072c-4869-94c9-33f28a4f48b2,1,credit_card,2,214.4
fd135ac5-e6cf-4f54-8a9d-c28c8d5af123,1,credit_card,3,77.44
b5f4149f-5054-45ba-a6b0-2299f3151b0a,1,credit_card,5,38.9
91af4892-240f-41c4-a5ae-01edb5356bf3,1,credit_card,5,74.22
c0d5dc17-61a5-4642-87d4-1385dc404104,1,credit_card,5,254.04
272a64fa-0cd4-4d15-b592-478d9523175b,1,credit_card,2,410.75
16f4a6b5-a760-47df-8e01-fa3fe2d8d2e6,1,debit_card,2,158.1
7cbf66b4-f8e7-4535-a9a4-5be4a589c017,1,boleto,2,387.0
107d4224-493a-45d2-a3a7-1aee702adf3b,1,credit_card,8,85.83
fe59189f-3035-4a61-8374-78bd773fbb30,1,credit_card,4,296.56
d76abc03-3534-4521-8d56-4ca1099c3693,1,boleto,1,231.65
3a772b80-27b8-4178-8ef6-465e518ba376,1,credit_card,2,305.63
d5afe4fe-ca97-4dfa-8b3f-99af895c186b,1,credit_card,7,485.45
29d295d6-0c03-46d6-b27e-ec3b5dda5439,1,credit_card,7,72.35
9c0851d4-8f20-4a19-90a8-36ae2977fb6e,1,credit_card,8,130.7
640e50e7-6c10-46b3-87c3-c463f1bef588,1,boleto,10,495.83
c06947d3-72cd-4dd0-ae61-6bd7569d7aeb,1,credit_card,2,476.57
c0ff0bc4-df44-4bff-bad6-51095636d3b7,1,credit_card,3,56.93
32efb83d-28d3-41aa-823f-2471ec1aa530,1,credit_card,10,214.78
fe77d9f9-8533-4baf-a22b-853733777a82,1,credit_card,9,399.85
3bd88e22-cb0f-4b8e-9fa4-ce21273fd952,1,credit_card,3,408.77
226acb48-0428-4ad9-a2e4-0b500262bf90,1,credit_card,7,465.56
fdd35eea-92d8-4eb1-a6b9-ce275487452b,1,voucher,8,93.31
e0b87731-3454-4a6a-b72c-ba501b993f82,1,debit_card,8,62.1
382e80e8-059f-49d7-bacf-0cbf028ccae1,1,debit_card,8,295.61
77ec1430-6885-4a47-80ee-7a6e32803153,1,boleto,3,333.57
b137d223-bbeb-414b-9156-26bb70e39ecb,1,credit_card,1,288.02
6d82bf0b-e6a1-4ff8-ab9a-95851f737931,1,credit_card,9,202.21
eeccf146-5d7d-40fd-b4cf-b32bc88736e9,1,credit_card,7,271.5
db1c71cb-7002-4831-82bd-a3a7d0d74aa0,1,credit_card,8,452.12
7a77a4de-c6a1-41ef-a459-bf966d473b55,1,debit_card,10,491.37
c03b3a8e-58ed-4798-9c26-6a1b9c137f71,1,boleto,7,334.89
e60d9941-3fc6-4e14-90b0-34fdd057358d,1,credit_card,6,392.62
472a9d93-2c6e-4aa8-8e81-a1fdbf96abad,1,credit_card,3,48.93
0e594ba4-35ea-4f1e-9ec5-1b50a44a0d54,1,voucher,6,218.23
2c4c7385-e74c-47eb-b10a-373d1407a94b,1,boleto,5,72.66
94ebae5d-bc16-4b0e-bb17-b288e9052c4b,1,credit_card,5,239.21
d0e99e5d-4220-40b6-8503-5b6c8e5e71c5,1,boleto,4,67.85
076f632f-3c28-4939-abae-3b707cd5babe,1,credit_card,4,281.13
eafb7b2c-b77c-42c2-8556-a328377f35c1,1,credit_card,4,492.76
0bf2598c-21be-4ca5-8ada-f90ff365185d,1,credit_card,7,336.15
755d2764-4bc6-4db9-8a49-7bbd2086ba87,1,credit_card,6,259.34
ccafa19b-f8e2-44d8-b250-f86c116f176a,1,credit_card,6,21.68
cc12e44b-bdcc-4163-8f3b-5aa894deff78,1,credit_card,2,409.56
0431d773-c544-4fb6-aad2-4b3dffd8ca90,1,debit_card,4,458.5
29bd44d4-b7bb-44ab-b447-b05217430eff,1,credit_card,3,363.85
cc0cb19c-a973-4b18-a9d5-039af5260cb1,1,credit_card,7,489.46
e18e763b-0d57-4ef5-8aec-b05721e5259f,1,credit_card,9,309.3
d0778d1f-7079-44e0-8ef9-2e305f9094ca,1,credit_card,4,463.54
ea9219d4-69e0-48c3-b8e2-e864e0f0c823,1,credit_card,7,231.41
e212b2e8-a91a-4e8b-824a-1f16d4d1bf15,1,credit_card,7,240.04
c6b44036-baca-4a87-b66a-fbe78be5199e,1,credit_card,10,446.5
ead7131d-d4ea-48f5-9a01-d224f55c6af8,1,credit_card,8,491.58
b0e450ce-a2d4-4aa0-a466-c48979edf2d0,1,credit_card,3,368.64
42acdbbb-d328-4b73-9234-967d7ec4eb39,1,credit_card,2,421.72
c9628855-9f4e-45d6-9b1a-5a0669f6a8cb,1,boleto,3,263.47
dcbd6ef5-ef8b-47d0-99c8-cca7d51878a7,1,credit_card,8,100.86
0ccfd7fb-4382-49e7-acf8-022f2ed1027f,1,credit_card,7,326.95
8aa7deb9-a3cb-49bd-9c19-47e162e5b19a,1,credit_card,8,438.73
eba5c500-df55-4ba6-896d-3a543a363b3a,1,credit_card,8,39.31
ad79b370-c9e2-4c9e-a772-30de70d21fea,1,credit_card,5,280.69
56e80e7e-25f9-49cd-a101-0d68781aee5a,1,debit_card,5,197.79
10682337-ee5e-4cf7-9f49-24f2817b6767,1,boleto,5,126.16
994ac61f-5110-4df9-a7d2-3eca2e0c881c,1,credit_card,10,304.86
95be2ff6-f4ae-4a44-8d7b-6acd0a4434d1,1,credit_card,10,255.52
62a189fb-57de-4702-b026-d60ac82d4afa,1,credit_card,2,106.6
48209942-88a5-4343-821c-a2c164ea7b95,1,boleto,6,291.93
81d37bca-ea34-43ed-8135-7db8b66db5df,1,credit_card,10,67.73
f278b488-25be-490a-bd4f-b6fcb9866767,1,credit_card,7,390.27
a0903f90-3fc5-43c9-bc47-9df23f55f644,1,boleto,10,381.5
c4f8c5ce-92ca-410d-b38c-f3da30084a02,1,boleto,2,39.31
2fb1ce81-cb5f-45b5-9388-fee7f0c3dc02,1,boleto,9,284.54
1600fe9c-15a4-4c52-a147-129e1987e27b,1,boleto,7,352.17
87ea19f2-1e85-4536-8c11-c74dfab522e5,1,voucher,6,158.47
0abe20fe-8375-4222-b74c-72c0753840d9,1,credit_card,5,104.04
fb8671c1-58be-4c14-b267-52853c573da8,1,credit_card,9,284.18
ceadfe1b-6a7a-4ce6-8d84-3ad9b0385cd1,1,boleto,2,496.43
0ccc941d-9d3b-4ac6-be24-af96eb10052a,1,credit_card,5,319.12
f9db00b0-e40f-4972-aa94-a772ab6b897b,1,debit_card,7,410.53
dae5108b-7454-43ed-92ed-553ce6184043,1,credit_card,6,361.04
7c175917-d30a-435d-9cea-8b590caaf782,1,credit_card,1,493.71
cc45a5fe-093a-401f-b18e-d96d4a95c90d,1,credit_card,10,251.54
9927d85c-39bc-4e35-aeba-719da118766a,1,credit_card,5,467.53
96773d4c-1a83-4f9e-9a3e-de1226ab406f,1,credit_card,2,431.86
40773847-9e04-415a-9e92-b9d9f8bc60bb,1,credit_card,7,290.0
99222b37-2d9e-42d2-9ade-a2a4b1c72493,1,credit_card,3,255.04
e5bbffb9-e2c0-4b0f-bc37-4a1e517eb16a,1,credit_card,8,444.85
1a1e3904-7e76-4e5b-9c01-1cb5c3aa59ef,1,credit_card,3,75.81
e7c2caa7-2460-4dd7-aced-c1f92c33acb9,1,credit_card,7,368.13
bf99a6e3-6347-4b41-b202-39817e02c8c1,1,credit_card,1,310.48
8ebc02b1-3866-4e81-bff1-254b4128b138,1,credit_card,7,193.96
057eaa6f-29de-45e6-ae89-a6ed7453c9c3,1,boleto,6,296.03
264fb171-4a0d-48ae-9b6e-82cc5c57eb93,1,boleto,5,62.54
2d1801d7-602c-4887-9cec-b53624f3984a,1,boleto,2,409.68
af62a976-520c-4748-addb-47c3607b7b22,1,debit_card,3,293.5
e10abc64-9752-400f-82bb-7890cf97b941,1,credit_card,8,411.87
f546f5ee-d999-4d9d-a1eb-8774a5637759,1,voucher,8,134.51
bd731fcc-31ff-48f9-a8a5-41f8313e59a2,1,boleto,10,127.19
8a21d06c-b13e-4f6d-8062-cf68bc6699ff,1,boleto,5,27.45
f9e5c053-33cd-4586-b20c-6b84d10320a3,1,credit_card,10,302.22
715c8f85-4d52-4e8a-8b5f-9c244a36acf1,1,debit_card,2,388.65
04bdd646-d561-4a4a-a7a3-d3fee090c65f,1,credit_card,5,231.03
84c0abed-d732-4acd-8090-661f4e02ffb3,1,boleto,3,441.97
