product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
cf998da3-4f94-4b3e-8e05-a28133c25e62,housewares,33,824,4,3253,70,26,29
e6d59568-3695-4a38-9528-0e7c89d5e178,baby,56,977,5,2007,33,43,31
121aeb14-c600-4101-b9b0-b99ec5404be9,food_drink,48,1005,5,511,38,25,14
0b9f97a5-5510-4786-8200-4a560917f2d6,telephony,54,1560,3,1505,33,33,39
8fbd2cfd-c651-434f-9a0f-3cdb275ac9d6,telephony,55,1952,1,2077,99,35,22
38c682d8-673d-4804-9c5b-ad2ea9fb1b54,stationery,49,442,5,3245,98,15,46
77e0ad89-1197-4eb0-aee4-9d62af4219dd,watches_gifts,54,1073,5,999,51,7,42
f887ac21-369d-4be1-8bf9-1d08e47472d0,perfumery,38,1460,2,4658,66,46,46
ba7696f5-ca69-45bd-889e-b2f2e1b3b9d1,housewares,47,998,4,3122,73,7,39
862609ab-418b-4aa2-b016-f6ad5c253a40,sports_leisure,56,1749,1,3375,31,41,15
3df0ddc0-d2e8-4094-a19d-768cc391a132,watches_gifts,53,1704,2,1706,91,16,39
26c118f2-eb1c-4430-9f11-4270565f8687,auto,37,1909,1,4516,54,48,50
67d77873-0f7b-4245-87aa-20806bb17a8b,perfumery,34,1125,3,4127,58,13,19
8bb107de-faa0-4297-85e3-e268dcaeedcd,stationery,46,607,1,3416,66,42,29
6de46fed-bece-4286-89f6-84396f77cc54,perfumery,37,906,1,1083,71,36,34
8c46b173-9699-4962-b19a-009f72a35369,housewares,47,1981,2,1568,75,42,44
ff17bb76-b7be-41df-bd5e-b63638124f7f,telephony,59,1746,4,844,92,26,30
ee52ab7b-4cb0-4e85-a418-4c384059d846,computers_accessories,58,1425,5,4379,85,23,38
8c12d6ef-31fa-484d-80dd-80058abcb652,health_beauty,39,480,1,1478,90,26,11
51632bff-2d47-4b5a-b7b9-6b0d4dbb5559,telephony,39,845,4,207,63,47,44
ebcfa81a-61f3-4780-ba54-79eaccda08bf,perfumery,48,1575,2,4936,19,24,17
a170711f-e862-4d4b-8c3c-33f5fb3cd9c8,health_beauty,47,1975,2,1444,63,21,25
67e88ce0-4c44-4d17-998d-2038f81379f3,computers_accessories,60,1850,5,1818,29,36,23
0c248f00-8a4a-47e1-a34d-65cfea3dbc37,food_drink,37,511,1,2106,69,9,26
720d576f-0d96-40be-9580-885a54b279cd,perfumery,49,1424,2,1936,16,48,43
46d5d341-ed50-484e-b1bf-d71bd0f95340,telephony,30,1810,5,591,82,42,29
5c2fe996-64ba-4ea1-8cd4-ba10b4666d99,baby,50,1283,3,3200,50,18,19
5a3974e8-55e7-4e00-9eb0-1a8e72f0b90d,health_beauty,50,1687,5,3203,79,26,36
65a61c40-f5fe-4a0a-9d3d-a878147eeb2d,watches_gifts,49,1611,4,3338,61,34,21
2eca29b7-9087-4a73-b4bb-c27828d217d6,bed_bath_table,32,325,2,3736,15,7,14
9814c00c-027d-4f7e-931c-63fbbaabf7ec,housewares,60,1087,3,1069,32,6,32
5553931a-efd9-409a-8a74-a19a08b52947,health_beauty,39,1342,5,3068,38,47,23
1b6d8927-5315-4e9a-8402-4764e6fe01cc,furniture_decor,48,1001,3,3314,97,35,39
b3288760-a102-4a45-be4e-72730ae19e7e,food_drink,58,1822,1,4257,68,40,11
aa846060-070d-4ea0-bb09-e7634f39a47f,perfumery,54,729,1,1144,68,25,48
e3b52c1d-1a0a-4af2-999f-64e9fd780916,food_drink,45,732,1,1553,18,42,42
15556b95-f377-4cff-9987-e58e3bcb4f32,housewares,40,1182,1,3651,47,10,17
c766978e-7673-4d16-99a1-459dff2d10f4,baby,31,962,4,1242,24,23,15
1841d873-634d-4e09-b0ff-d6b081ec334f,furniture_decor,32,843,1,2385,100,44,42
04e383eb-afca-425a-bc7c-dc3e99dce819,baby,41,1885,2,3728,19,38,25
4b80a8c6-ce31-46c3-941a-cd27246f5c1d,health_beauty,36,223,2,415,83,32,12
ae960e3e-71f7-487c-b143-0eeab443cda3,baby,44,1537,2,2178,24,41,27
b3e3f68f-afce-4949-8dd1-db5f6399c513,stationery,53,418,5,2378,98,49,32
06174c62-a243-49ab-ab0e-817c2d598b9d,bed_bath_table,49,1981,4,1200,89,18,30
5ef6840e-9ef8-45a9-b792-ff6567f7aba4,furniture_decor,32,1963,3,4693,20,36,42
d14c70b7-50ac-4a6d-bbda-d4aceb5c4ed8,telephony,34,1072,3,980,37,24,18
b2d995fa-449e-402a-aea2-8810eb7fb03e,perfumery,58,974,2,705,84,16,34
2d58293a-aebe-4524-9549-d4d7f0c46591,furniture_decor,45,1834,2,2304,16,6,18
152b5e5f-e499-4ab5-802a-99b2ff8abfc0,telephony,46,1164,4,4721,19,49,29
700f8e85-2ea7-46a8-a29e-a406aab76dd1,telephony,39,1212,3,3269,91,7,27
cb3c211d-c8f1-4809-9051-b949e6af993c,sports_leisure,50,1385,2,3464,53,8,38
df365764-5b7a-4c04-90de-2feee66ccf4a,perfumery,46,1090,3,1400,53,36,41
286cb3e0-02b5-466d-8f3c-c54ff644404d,perfumery,40,1486,5,3947,73,16,50
cffd1e28-c271-448f-aaed-2058dc247a02,food_drink,53,1228,4,3022,26,17,32
143567ed-0cff-44c2-ab41-ce2fb31b58fa,stationery,48,1569,2,744,58,36,14
36eff201-5656-45f9-9c6a-16e051cb3f06,furniture_decor,47,1384,4,1692,92,46,12
2edf2b1a-ee35-4704-b82f-76efdce202f5,housewares,30,913,4,1519,98,39,29
f773e927-58d6-4943-a0e5-e2f9e810c030,telephony,42,803,3,3800,73,31,37
afb77dcd-afb6-43c9-a798-debacc464bb8,bed_bath_table,35,1249,5,153,59,35,28
a23b3ed7-70ad-47ed-8277-171c96944fa8,health_beauty,48,882,1,1637,80,5,22
08308982-56fc-4a76-9e1d-5748e3fe266b,housewares,60,374,2,1196,18,46,46
f4b3593f-0b38-4c49-8853-338d7024cf94,furniture_decor,33,734,4,805,24,13,13
c3d60e1e-1992-4767-be08-3461d5b26840,watches_gifts,59,1290,4,4071,63,29,32
d832c732-30f6-49cd-b445-6f0d7164a9a2,health_beauty,59,691,5,1341,63,11,41
8cfd980c-984f-4419-b6b4-c117210f0001,sports_leisure,55,1917,1,1756,83,18,11
b552f386-5a96-4f37-ae45-a7440cad2d63,telephony,45,690,2,3809,85,43,25
5dbc7f05-ac8f-4183-9702-d8c1be3ff70d,telephony,35,877,2,3346,23,13,26
